_time,_value
2022-11-27T22:52:00Z,33.2
2022-11-27T22:53:00Z,33.88
2022-11-27T22:54:00Z,32.4
2022-11-27T22:55:00Z,33.21
2022-11-27T22:56:00Z,33.77
2022-11-27T22:57:00Z,33.88
2022-11-27T22:58:00Z,32.93
2022-11-27T22:59:00Z,32.72
2022-11-27T23:00:00Z,33.56
2022-11-27T23:01:00Z,41.1
2022-11-27T23:02:00Z,46.11
2022-11-27T23:03:00Z,46.37
2022-11-27T23:04:00Z,45.78
2022-11-27T23:05:00Z,46.15
2022-11-27T23:06:00Z,46.72
2022-11-27T23:07:00Z,46.7
2022-11-27T23:08:00Z,45.73
2022-11-27T23:09:00Z,45.86
2022-11-27T23:10:00Z,46.51
2022-11-27T23:11:00Z,46.21
2022-11-27T23:12:00Z,45.65
2022-11-27T23:13:00Z,46.49
2022-11-27T23:14:00Z,45.97
2022-11-27T23:15:00Z,45.7
2022-11-27T23:16:00Z,47.18
2022-11-27T23:17:00Z,45.71
2022-11-27T23:18:00Z,46.52
2022-11-27T23:19:00Z,46.42
2022-11-27T23:20:00Z,45.99
2022-11-27T23:21:00Z,45.89
2022-11-27T23:22:00Z,46.24
2022-11-27T23:23:00Z,46.4
2022-11-27T23:24:00Z,46.18
2022-11-27T23:25:00Z,46.44
2022-11-27T23:26:00Z,46.51
2022-11-27T23:27:00Z,46.18
2022-11-27T23:28:00Z,46.33
2022-11-27T23:29:00Z,46.06
2022-11-27T23:30:00Z,46.47
2022-11-27T23:31:00Z,46.12
2022-11-27T23:32:00Z,45.88
2022-11-27T23:33:00Z,45.93
2022-11-27T23:34:00Z,46.09
2022-11-27T23:35:00Z,46.46
2022-11-27T23:36:00Z,46.66
2022-11-27T23:37:00Z,46.55
2022-11-27T23:38:00Z,46.13
2022-11-27T23:39:00Z,46.79
2022-11-27T23:40:00Z,46.71
2022-11-27T23:41:00Z,45.51
2022-11-27T23:42:00Z,46.43
2022-11-27T23:43:00Z,45.8
2022-11-27T23:44:00Z,46.05
2022-11-27T23:45:00Z,46.28
2022-11-27T23:46:00Z,46.07
2022-11-27T23:47:00Z,46.38
2022-11-27T23:48:00Z,46.6
2022-11-27T23:49:00Z,46.83
2022-11-27T23:50:00Z,45.35
2022-11-27T23:51:00Z,45.3
